L	b2	b4	b8	b16	b32
1.0	2.0	4.0	8.0	16.0	32.0
2.0	2.0	4.0	9.0	18.0	37.0
3.0	2.0	5.0	10.0	19.0	39.0
4.0	3.0	5.0	10.0	20.0	40.0
5.0	3.0	5.0	10.0	20.0	40.0
6.0	3.0	6.0	11.0	21.0	41.0
7.0	3.0	6.0	11.0	21.0	41.0
8.0	3.0	6.0	11.0	21.0	42.0
9.0	4.0	6.0	11.0	22.0	42.0
10.0	4.0	6.0	12.0	22.0	42.0
11.0	4.0	6.0	12.0	22.0	43.0
12.0	4.0	7.0	12.0	22.0	43.0
13.0	4.0	7.0	12.0	22.0	43.0
14.0	4.0	7.0	12.0	23.0	43.0
15.0	4.0	7.0	12.0	23.0	43.0
16.0	4.0	7.0	12.0	23.0	43.0
17.0	4.0	7.0	12.0	23.0	44.0
18.0	4.0	7.0	12.0	23.0	44.0
19.0	4.0	7.0	12.0	23.0	44.0
20.0	4.0	7.0	13.0	23.0	44.0
21.0	4.0	7.0	13.0	23.0	44.0
22.0	4.0	7.0	13.0	23.0	44.0
23.0	4.0	7.0	13.0	23.0	44.0
24.0	5.0	7.0	13.0	23.0	44.0
25.0	5.0	7.0	13.0	24.0	44.0
26.0	5.0	7.0	13.0	24.0	45.0
27.0	5.0	7.0	13.0	24.0	45.0
28.0	5.0	7.0	13.0	24.0	45.0
29.0	5.0	8.0	13.0	24.0	45.0
30.0	5.0	8.0	13.0	24.0	45.0
31.0	5.0	8.0	13.0	24.0	45.0
32.0	5.0	8.0	13.0	24.0	45.0
33.0	5.0	8.0	13.0	24.0	45.0
34.0	5.0	8.0	13.0	24.0	45.0
35.0	5.0	8.0	13.0	24.0	45.0
36.0	5.0	8.0	13.0	24.0	45.0
37.0	5.0	8.0	13.0	24.0	45.0
38.0	5.0	8.0	13.0	24.0	45.0
39.0	5.0	8.0	13.0	24.0	45.0
40.0	5.0	8.0	13.0	24.0	46.0
41.0	5.0	8.0	13.0	24.0	46.0
42.0	5.0	8.0	14.0	24.0	46.0
43.0	5.0	8.0	14.0	24.0	46.0
44.0	5.0	8.0	14.0	24.0	46.0
45.0	5.0	8.0	14.0	24.0	46.0
46.0	5.0	8.0	14.0	25.0	46.0
47.0	5.0	8.0	14.0	25.0	46.0
48.0	5.0	8.0	14.0	25.0	46.0
49.0	5.0	8.0	14.0	25.0	46.0
50.0	5.0	8.0	14.0	25.0	46.0
51.0	5.0	8.0	14.0	25.0	46.0
52.0	5.0	8.0	14.0	25.0	46.0
53.0	5.0	8.0	14.0	25.0	46.0
54.0	5.0	8.0	14.0	25.0	46.0
55.0	5.0	8.0	14.0	25.0	46.0
56.0	5.0	8.0	14.0	25.0	46.0
57.0	5.0	8.0	14.0	25.0	46.0
58.0	5.0	8.0	14.0	25.0	46.0
59.0	5.0	8.0	14.0	25.0	46.0
60.0	5.0	8.0	14.0	25.0	46.0
61.0	5.0	8.0	14.0	25.0	46.0
62.0	5.0	8.0	14.0	25.0	46.0
63.0	5.0	8.0	14.0	25.0	46.0
64.0	5.0	8.0	14.0	25.0	46.0
65.0	5.0	8.0	14.0	25.0	46.0
66.0	5.0	8.0	14.0	25.0	47.0
67.0	5.0	8.0	14.0	25.0	47.0
68.0	5.0	8.0	14.0	25.0	47.0
69.0	5.0	8.0	14.0	25.0	47.0
70.0	5.0	8.0	14.0	25.0	47.0
71.0	5.0	8.0	14.0	25.0	47.0
72.0	5.0	8.0	14.0	25.0	47.0
73.0	5.0	8.0	14.0	25.0	47.0
74.0	5.0	8.0	14.0	25.0	47.0
75.0	5.0	8.0	14.0	25.0	47.0
76.0	5.0	8.0	14.0	25.0	47.0
77.0	6.0	8.0	14.0	25.0	47.0
78.0	6.0	9.0	14.0	25.0	47.0
79.0	6.0	9.0	14.0	25.0	47.0
80.0	6.0	9.0	14.0	25.0	47.0
81.0	6.0	9.0	14.0	25.0	47.0
82.0	6.0	9.0	14.0	25.0	47.0
83.0	6.0	9.0	14.0	25.0	47.0
84.0	6.0	9.0	14.0	25.0	47.0
85.0	6.0	9.0	14.0	25.0	47.0
86.0	6.0	9.0	14.0	25.0	47.0
87.0	6.0	9.0	14.0	25.0	47.0
88.0	6.0	9.0	14.0	25.0	47.0
89.0	6.0	9.0	14.0	26.0	47.0
90.0	6.0	9.0	14.0	26.0	47.0
91.0	6.0	9.0	14.0	26.0	47.0
92.0	6.0	9.0	14.0	26.0	47.0
93.0	6.0	9.0	14.0	26.0	47.0
94.0	6.0	9.0	14.0	26.0	47.0
95.0	6.0	9.0	14.0	26.0	47.0
96.0	6.0	9.0	14.0	26.0	47.0
97.0	6.0	9.0	14.0	26.0	47.0
98.0	6.0	9.0	15.0	26.0	47.0
99.0	6.0	9.0	15.0	26.0	47.0
100.0	6.0	9.0	15.0	26.0	47.0
101.0	6.0	9.0	15.0	26.0	47.0
102.0	6.0	9.0	15.0	26.0	47.0
103.0	6.0	9.0	15.0	26.0	47.0
104.0	6.0	9.0	15.0	26.0	47.0
105.0	6.0	9.0	15.0	26.0	47.0
106.0	6.0	9.0	15.0	26.0	47.0
107.0	6.0	9.0	15.0	26.0	47.0
108.0	6.0	9.0	15.0	26.0	47.0
109.0	6.0	9.0	15.0	26.0	47.0
110.0	6.0	9.0	15.0	26.0	47.0
111.0	6.0	9.0	15.0	26.0	47.0
112.0	6.0	9.0	15.0	26.0	48.0
113.0	6.0	9.0	15.0	26.0	48.0
114.0	6.0	9.0	15.0	26.0	48.0
115.0	6.0	9.0	15.0	26.0	48.0
116.0	6.0	9.0	15.0	26.0	48.0
117.0	6.0	9.0	15.0	26.0	48.0
118.0	6.0	9.0	15.0	26.0	48.0
119.0	6.0	9.0	15.0	26.0	48.0
120.0	6.0	9.0	15.0	26.0	48.0
121.0	6.0	9.0	15.0	26.0	48.0
122.0	6.0	9.0	15.0	26.0	48.0
123.0	6.0	9.0	15.0	26.0	48.0
124.0	6.0	9.0	15.0	26.0	48.0
125.0	6.0	9.0	15.0	26.0	48.0
126.0	6.0	9.0	15.0	26.0	48.0
127.0	6.0	9.0	15.0	26.0	48.0
128.0	6.0	9.0	15.0	26.0	48.0
129.0	6.0	9.0	15.0	26.0	48.0
130.0	6.0	9.0	15.0	26.0	48.0
131.0	6.0	9.0	15.0	26.0	48.0
132.0	6.0	9.0	15.0	26.0	48.0
133.0	6.0	9.0	15.0	26.0	48.0
134.0	6.0	9.0	15.0	26.0	48.0
135.0	6.0	9.0	15.0	26.0	48.0
136.0	6.0	9.0	15.0	26.0	48.0
137.0	6.0	9.0	15.0	26.0	48.0
138.0	6.0	9.0	15.0	26.0	48.0
139.0	6.0	9.0	15.0	26.0	48.0
140.0	6.0	9.0	15.0	26.0	48.0
141.0	6.0	9.0	15.0	26.0	48.0
142.0	6.0	9.0	15.0	26.0	48.0
143.0	6.0	9.0	15.0	26.0	48.0
144.0	6.0	9.0	15.0	26.0	48.0
145.0	6.0	9.0	15.0	26.0	48.0
146.0	6.0	9.0	15.0	26.0	48.0
147.0	6.0	9.0	15.0	26.0	48.0
148.0	6.0	9.0	15.0	26.0	48.0
149.0	6.0	9.0	15.0	26.0	48.0
150.0	6.0	9.0	15.0	26.0	48.0
151.0	6.0	9.0	15.0	26.0	48.0
152.0	6.0	9.0	15.0	26.0	48.0
153.0	6.0	9.0	15.0	26.0	48.0
154.0	6.0	9.0	15.0	26.0	48.0
