L	b2	b4	b8	b16	b32	u2	u4	u8	u16	u32
1.0	6530.520272523166	6524.710431045856	6501.726313036306	6451.14349248764	6348.799205031795	7864.32	8178.8928	8191.97902848	8191.9999999463125	8192.0
2.0	5427.146085695668	5671.040917630128	5892.035076627708	6023.755386995517	6053.209574026626	7549.7472	8165.806571519999	7281.770321239243	7281.77777777396	7084.972972972973
3.0	4671.6033096926085	5243.289156350596	5585.310930638134	5815.065658961726	5908.107851820837	7247.757311999999	6547.310557051172	6553.597986734285	6898.526315788389	6721.641025641025
4.0	4383.265492259018	4980.641822932691	5406.9064139578395	5683.013707959446	5815.645623072214	5288.656656225621	6545.2154176729155	6553.597315645851	6553.599999999727	6553.6
5.0	4177.726688021441	4767.988410836996	5263.722425625776	5585.627030960756	5749.403529672235	5246.347402975816	6543.120948739261	6553.596644557486	6553.599999999658	6553.6
6.0	3991.7215221550064	4656.815210865734	5170.652855760766	5514.4395143552965	5697.894691217022	5204.376623752009	5459.236516849023	5957.8174497215205	6241.523809523731	6393.756097560976
7.0	3823.2069769911477	4561.35338610293	5092.109083574632	5455.385551889928	5655.664765095227	5162.741610761993	5458.887125711945	5957.817327705418	6241.523809523717	6393.756097560976
8.0	3670.3554499112324	4473.446082649873	5021.750719865855	5403.469779139195	5620.4771611005435	5121.439677875897	5458.5377569359	5957.81720568932	6241.523809523705	6241.523809523809
9.0	3600.3578642123134	4392.369564530121	4958.42179058443	5362.545950366304	5591.012383608505	4037.393681450735	5458.188410519456	5957.817083673223	5957.818181818158	6241.523809523809
10.0	3552.991289593111	4317.471837765452	4907.273539341444	5327.789026192105	5564.382775859764	4030.933851560414	5457.839086461183	5461.333109637125	5957.818181818156	6241.523809523809
11.0	3506.852107174057	4248.165495981091	4870.262724889111	5295.655815674874	5540.369306323284	4024.484357397917	5457.48978475965	5461.333087267504	5957.818181818153	6096.372093023256
12.0	3461.906337740735	4199.475020139466	4835.163172633179	5265.865454648936	5520.649794078597	4018.04518242608	4680.423884217095	5461.3330648978845	5957.81818181815	6096.372093023256
13.0	3418.1209467339854	4167.763237201732	4801.8473614982795	5238.171259806995	5502.255372684217	4011.616310134198	4680.363974791378	5461.333042528265	5957.818181818147	6096.372093023256
14.0	3375.4638179807716	4136.954815212969	4770.19686265955	5212.457612292774	5485.055148299737	4005.1977240379833	4680.3040661325	5461.333020158644	5698.782608695643	6096.372093023256
15.0	3333.903728155561	4107.019959624561	4740.101679488092	5193.193988646062	5468.933363234352	3998.7894076795224	4680.2441582404535	5461.332997789024	5698.782608695643	6096.372093023256
16.0	3293.410321951899	4077.929879380915	4711.459635647035	5174.772191157529	5453.787506982436	3992.391344627235	4680.184251115227	5461.332975419405	5698.782608695642	6096.372093023256
17.0	3253.9540879444207	4049.65675302017	4684.175807821061	5157.141430998123	5440.807918441281	3986.0035184758312	4680.124344756813	5461.332953049785	5698.782608695641	5957.818181818182
18.0	3215.5063351221183	4022.1736959205537	4658.161999819203	5140.254334999136	5428.921604112181	3979.62591284627	4680.0644391652	5461.332930680165	5698.782608695641	5957.818181818182
19.0	3178.039170074173	3995.4547286536686	4633.336255028982	5124.066706381078	5417.552138472728	3973.2585113857153	4680.004534340379	5461.3329083105455	5698.78260869564	5957.818181818182
20.0	3141.5254748102207	3969.474746407289	4614.574040364526	5108.537302508149	5406.666457370782	3966.901297767498	4679.944630282339	5041.230686635241	5698.782608695639	5957.818181818182
21.0	3105.9388851974113	3944.209489441535	4599.637049854628	5093.627628449534	5396.233962776253	3960.55425569107	4679.884726991071	5041.230682505464	5698.782608695639	5957.818181818182
22.0	3071.2537699970985	3919.635514543482	4585.037481121947	5079.301745216178	5386.226325229702	3954.217368881964	4679.824824466566	5041.230678375688	5698.782608695638	5957.818181818182
23.0	3037.4452104844827	3895.73016744647	4570.765770027815	5065.526091622864	5376.61730268317	3947.8906210917526	4679.764922708812	5041.230674245912	5698.7826086956375	5957.818181818182
24.0	3006.659577646778	3872.471556181515	4556.812637777925	5052.269318800771	5367.382574348633	3251.7265692716155	4679.705021717801	5041.230670116135	5698.782608695637	5957.818181818182
25.0	2996.5509875046746	3849.838525329297	4543.169082305869	5040.679435097209	5358.499588287542	3250.6860167694485	4679.645121493523	5041.230665986359	5461.333333333333	5957.818181818182
26.0	2986.5086854132646	3827.810631142316	4529.826369917603	5031.174262583685	5351.074701165666	3249.6457972440826	4679.585222035968	5041.230661856583	5461.333333333333	5825.422222222222
27.0	2976.532213678612	3806.3681175077863	4516.776027188941	5021.888746819237	5343.929717616503	3248.6059105889644	4679.525323345126	5041.230657726806	5461.333333333333	5825.422222222222
28.0	2966.621117775385	3785.4918927228537	4504.009833108386	5012.815986673867	5336.980761860415	3247.566356697576	4679.465425420987	5041.230653597029	5461.333333333333	5825.422222222222
29.0	2956.774946324914	3770.5781461467213	4491.519811457895	5003.949319672965	5330.219990448992	3246.527135463433	4095.6959238582303	5041.230649467253	5461.333333333333	5825.422222222222
30.0	2946.9932510734047	3761.337213876331	4479.29822342434	4995.28231346705	5323.639922630316	3245.4882467800844	4095.685438876665	5041.230645337478	5461.333333333333	5825.422222222222
31.0	2937.275586870306	3752.1815268751716	4467.337560434698	4986.808757609953	5317.233422461535	3244.449690541115	4095.674953921942	5041.2306412077005	5461.333333333333	5825.422222222222
32.0	2927.621511646818	3743.110197337181	4455.630537208174	4978.522655634242	5310.9936818306205	3243.411466640142	4095.66446899406	5041.230637077924	5461.333333333333	5825.422222222222
33.0	2918.030586394557	3734.122346838201	4444.170085018686	4970.418217413101	5304.914204340444	3242.373574970817	4095.653984093019	5041.230632948148	5461.333333333333	5825.422222222222
