L	b2	b3	b4	u2	u3	u4
1.0	6530.520272523166	6528.917364813155	6524.710431045856	7864.32	8126.464	8178.8928
2.0	5427.146085695668	5571.508066570378	5671.040917630128	7549.7472	8061.4522879999995	8165.806571519999
3.0	4671.6033096926085	4973.494027537115	5164.963728611801	7247.757311999999	7996.960669696	8152.741281005567
4.0	4139.951473048271	4569.285438886809	4824.301953591651	6957.847019519999	7932.984984338432	8139.696894955958
5.0	3753.0909481304934	4273.332044869267	4570.558045709025	6679.533138739199	7869.521104463724	8126.673379924027
6.0	3460.5113722161195	4041.0192057168583	4368.292021576777	6412.351813189631	7806.564935628015	8113.670702516149
7.0	3229.931272872615	3848.7129489573204	4200.2501572371375	6155.857740662045	7744.11241614299	8100.688829392123
8.0	3040.6932850143553	3683.5721473579283	4057.1048310078872	5909.623431035563	7682.159516813847	8087.7277272650945
9.0	2879.5535270978103	3538.3430109515443	3933.176200024363	5673.238493794141	7620.702240679336	8074.78736290147
10.0	2737.997236210706	3408.695554171985	3824.6112511870374	5446.308954042374	7559.7366227539	8061.867703120828
11.0	2610.527383854998	3291.8573752021407	3728.5792003843553	5228.45659588068	7499.258729771868	8048.968714795834
12.0	2493.5735627263157	3185.9098816059723	3642.8928013478567	5019.318332045452	7439.264659933694	8036.09036485216
13.0	2384.796295271397	3089.4230983005805	3565.8126175441043	4818.545598763634	7379.750542654224	8023.232620268396
14.0	2282.643424625539	3001.26381171656	3495.933459275878	4625.803774813088	7320.712538312991	8010.395448075967
15.0	2186.0672102583535	2920.4927060670047	3432.1104899024576	4440.771623820565	7262.146838006487	7997.578815359045
16.0	2094.3438757594286	2846.3074144387633	3373.4065419566496	4263.140758867742	7204.049663302435	7984.78268925447
17.0	2006.9584731344962	2778.009459752464	3319.052195325819	4092.615128513032	7146.417265996016	7972.0070369516625
18.0	1923.531389833523	2714.9838030587366	3268.414421443522	3928.9105233725104	7089.245927868047	7959.25182569254
19.0	1843.7714065383323	2656.685200462081	3220.9714688341037	3771.75410243761	7032.531960445103	7946.517022771431
20.0	1767.445684562299	2602.6283713883417	3176.2925406318927	3620.8839383401055	6976.2717047615415	7933.802595534996
21.0	1694.3605493190166	2552.3804138355626	3134.0212631797867	3476.048580806501	6920.461531123449	7921.10851138214
22.0	1624.3491596370984	2505.5546368020878	3093.862202497257	3337.006637574241	6865.097838874462	7908.434737763928
23.0	1557.2635700494461	2461.805358078485	3055.569851621273	3203.526372071271	6810.177056163467	7895.781242183505
24.0	1492.9695967387815	2420.8234113828516	3018.9396295754896	3075.3853171884202	6755.6956397141585	7883.147992196012
25.0	1431.3434738334522	2382.332209373042	2983.800521593739	2952.3699045008834	6701.650074596445	7870.534955408498
26.0	1372.269653955068	2346.0842637871106	2950.009059863484	2834.2751083208477	6648.036873999674	7857.942099479844
27.0	1315.6393410160026	2311.8580940300462	2917.444399759389	2720.904103988014	6594.852579007677	7845.369392120675
28.0	1261.349492503955	2279.4554727917853	2886.0042915778026	2612.0679398284933	6542.093758375614	7832.816801093282
29.0	1209.3021236340614	2248.698967816622	2855.601784402589	2507.5852222353533	6489.757008308609	7820.284294211532
30.0	1159.4038064065508	2219.429745863637	2826.1625285888767	2407.281813345939	6437.838952242141	7807.771839340794
31.0	1111.5652952808687	2191.5056098101873	2797.6225677272446	2310.9905408121017	6386.336240624204	7795.279404397848
32.0	1065.7012358350369	2164.799243593251	2769.9265308664167	2218.5509191796173	6335.245550699209	7782.806957350811
33.0	1021.7299285021518	2139.196642699188	2743.0261520496806	2129.8088824124325	6284.563586293615	7770.35446621905
34.0	979.5731295031616	2114.595710440603	2716.8790575259036	2044.6165271159352	6234.287077603268	7757.921899073099
35.0	939.1558774910023	2090.9050024339917	2691.4477718737276	1962.8318660312977	6184.412780982441	7745.509224034581
36.0	900.4063385020969	2068.0426035933156	2666.6989031706285	1884.3185913900456	6134.937478734581	7733.1164092761255
37.0	863.2556644161539	2045.9351236329885	2642.6024746093303	1808.9458477344438	6085.857978904704	7720.743423021283
38.0	827.6378617891007	2024.516798563577	2619.131375908545	1736.5880138250661	6037.171115073467	7708.390233544449
39.0	793.48966898782	2003.7286869902655	2596.2609127252167	1667.1244932720633	5988.873746152879	7696.056809170777
40.0	760.750440236549	1983.5179512079396	2573.9684362490616	1600.4395135411808	5940.962756183656	7683.743118276104
41.0	729.3620356219285	1963.8372141441134	2552.2330384090506	1536.4219329995335	5893.435054134187	7671.4491292868615
42.0	699.2687163851047	1944.6439841459385	2531.035300777764	1474.965055679552	5846.287573701114	7659.174810680002
43.0	670.4170450113356	1925.900140452458	2510.3570874312927	1415.96645345237	5799.517273111504	7646.920130982914
44.0	642.7557897461401	1907.5714729488284	2490.1813737980074	1359.3277953142751	5753.121134926612	7634.685058773342
45.0	616.2358332450503	1889.6272704749806	2470.492104981341	1304.954683501704	5707.0961658472	7622.469562679304
46.0	590.8100851161065	1872.0399525655669	2451.274078228698	1252.7564961616358	5661.439396520422	7610.273611379016
47.0	566.4333981496519	1854.7847400386343	2432.5128451891433	1202.6462363151704	5616.147881348258	7598.09717360081
48.0	543.0624880547183	1837.8393603340085	2414.1946303960535	1154.5403868625635	5571.218698297472	7585.940218123048
49.0	520.6558565391039	1821.1837839348736	2396.3062630596964	1108.3587713880609	5526.648948711092	7573.802713774051
50.0	499.17371758357075	1804.799988592901	2378.835119785234	1064.0244205325384	5482.435757121403	7561.684629432012
51.0	478.5779267709691	1788.6717484233402	2361.7690762653733	1021.4634437112369	5438.576271064432	7549.58593402492
52.0	458.83191353952617	1772.7844452460095	2345.0964663515815	980.6049059627874	5395.067660895917	7537.50659653048
53.0	439.90061623663786	1757.1248998250012	2328.8060471977824	941.3807097242758	5351.90711960875	7525.446585976031
54.0	421.7504198556991	1741.681220907578	2312.88696940758	903.7254813353047	5309.09186265188	7513.405871438469
55.0	404.34909634404784	1726.4426701842656	2297.328751309983	867.5764620818925	5266.619127750664	7501.384422044167
56.0	387.6657473751604	1711.3995414902895	2282.121256647157	832.8734035986168	5224.4861747286595	7489.382206968896
57.0	371.67074948292577	1696.5430527457736	2267.254675087425	799.558467454672	5182.69028533083	7477.399195437745
58.0	356.33570146022424	1681.865249290633	2252.719505082756	767.5761287564852	5141.228763048183	7465.435356725045
59.0	341.6333739281835	1667.3589174119363	2238.5065386767446	736.8730836062257	5100.098932943798	7453.490660154284
60.0	327.53766098642166	1653.0175069883414	2224.6068479399983	707.3981602619767	5059.298141480247	7441.565075098037
61.0	314.0235338583342	1638.8350622896915	2211.0117727678803	679.1022338514975	5018.823756348405	7429.65857097788
62.0	301.06699644905797	1624.806160071353	2197.712909823025	651.9381444974376	4978.673166297618	7417.771117264315
63.0	288.6450427371609	1610.925854193646	2184.7021024438586	625.8606187175401	4938.843780967237	7405.902683476692
64.0	276.7356159243788	1597.189626077951	2171.971431372156	600.8261939688385	4899.333030719499	7394.053239183128
65.0	265.3175692708482	1583.5933403836887	2159.513206178628	576.793146210085	4860.138366473743	7382.222754000435
66.0	254.37062854628286	1570.1332053553622	2147.3199572868466	553.7214203616816	4821.257259541953	7370.411197594034
67.0	243.87535603041647	1556.8057373469544	2135.3844285132172	531.5725635472143	4782.687201465617	7358.618539677884
68.0	233.81311599878427	1543.607729082979	2123.699570054968	510.30966100532567	4744.425703853893	7346.844750014398
69.0	224.16604163255735	1530.53622126196	2112.2585318698184	489.89727456511264	4706.470298223061	7335.089798414375
70.0	214.91700329367188	1517.5884771497258	2101.0546574005657	470.3013835825081	4668.818535837277	7323.353654736911
71.0	206.0495781089208	1504.76195984711	2090.081477605646	451.48932823920774	4631.467987550578	7311.636288889333
72.0	197.54802080899947	1492.0543119499173	2079.332705263196	433.4297551096394	4594.416243650174	7299.937670827109
73.0	189.39723577072664	1479.4633373488002	2068.80222952139	416.0925649052538	4557.660913700973	7288.257770553785
74.0	181.58275021279667	1466.986984943298	2058.4841106721783	399.44886230904365	4521.199626391364	7276.596558120899
75.0	174.0906884974694	1454.6233340681304	2048.3725751291076	383.4709078166819	4485.030029380234	7264.954003627905
76.0	166.90774749256613	1442.370581451122	2038.4620105928284	368.1320715040146	4449.149789145192	7253.3300772221
77.0	160.0211729500244	1430.2270295412084	2028.7469613903158	353.40678864385404	4413.55659083203	7241.724749098545
78.0	153.41873685906768	1418.191076062006	2019.2221239757964	339.27051709809984	4378.248138105374	7230.137989499986
79.0	147.0887157337783	1406.2612046616857	2009.8823425830458	325.69969641417583	4343.222153000531	7218.569768716786
80.0	141.01986979651994	1394.4359765435217	2000.722605020046	312.6717085576088	4308.476375776527	7207.020057086839
81.0	135.20142302024723	1382.7140229736958	1991.738038598133	300.1648402153044	4274.0085647703145	7195.4888249955
82.0	129.6230439942652	1371.0940385738386	1982.9239061886951	288.1582466066922	4239.816496252151	7183.976042875506
83.0	124.27482757946267	1359.5747753155563	1974.2756024012567	276.63191674242455	4205.897964282134	7172.481681206906
84.0	119.14727732044669	1348.1550371429246	1965.7886498774342	265.5666400727276	4172.250780567877	7161.005710516974
85.0	114.23128858334815	1336.8336751567358	1957.4586956957892	254.94397446981844	4138.872774323334	7149.548101380146
86.0	109.51813238935745	1325.609583301276	1949.281507883069	244.7462154910257	4105.761792128747	7138.108824417938
87.0	104.99943991528484	1314.481694500654	1941.2529720277032	234.95636687138466	4072.915697791718	7126.687850298869
88.0	100.66718763362393	1303.4489771972937	1933.3690879917601	225.55811219652927	4040.3323722093833	7115.285149738391
89.0	96.51368306573272	1292.5104322502048	1925.625966717841	216.5357877086681	4008.0097132317082	7103.900693498808
90.0	92.53155112283507	1281.6650901551145	1918.019827127633	207.87435620032136	3975.945635525855	7092.53445238921
91.0	88.71372101058921	1270.912008552547	1910.54699310905	199.55938195230848	3944.1380704416483	7081.186397265387
92.0	85.05341367397068	1260.2502699935058	1903.2038905890722	191.57700667421614	3912.584965878115	7069.856499029763
93.0	81.54412976017649	1249.6789799356366	1895.9870446895504	183.9139264072475	3881.2842861510894	7058.544728631315
94.0	78.17963807817702	1239.197264945582	1888.8930769633798	176.5573693509576	3850.2340118618813	7047.251057065504
95.0	74.95396453442413	1228.8042710858238	1881.9187027085832	169.49507457691928	3819.432139766986	7035.975455374199
96.0	71.86138152506925	1218.4991624665886	1875.0607283579345	162.7152715938425	3788.8766826488504	7024.7178946456
97.0	68.8963977658562	1208.2811199454443	1868.3160489418774	156.2066607300888	3758.5656691876593	7013.478346014166
98.0	66.05374854163021	1198.1493399590443	1861.6816456225627	149.95839430088523	3728.497143834158	7002.256780660544
99.0	63.328386358149885	1188.1030334731204	1855.154583296933	143.96005852884983	3698.669166683485	6991.053169811486
100.0	60.71547197960319	1178.1414250382902	1848.7320082668398	138.20165618769582	3669.079813350017	6979.867484739788
